,消費者物價基本分類指數,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
統計期,總指數,年增率(%),一.食物類,年增率(%),二.衣著類,年增率(%),三.居住類,年增率(%),四.交通及通訊類,年增率(%),五.醫藥保健類,年增率(%),六.教養娛樂類,年增率(%),七.雜項類,年增率(%)
107年,97.76,1.36,95.15,1,97.79,0.29,98.2,0.91,99.51,2.26,98.15,1.06,99.04,0.22,98.08,4.74
107年1月,97.02,0.89,94.33,0.82,97.31,1.87,97.38,1.04,99.26,1.65,97.63,1.77,97.88,-1.45,97.34,2
107年2月,97.93,2.2,94.84,0.97,94.25,1.81,97.46,1.07,99.68,2.26,97.9,1.68,100.44,1.82,100.5,8.93
107年3月,96.98,1.59,94.2,1.31,93.39,1.77,97.52,0.96,98.99,1.87,97.89,1.3,98.42,0.33,97.99,5.91
107年4月,97.61,2.01,94.57,2.7,101.83,0.05,97.59,1,99.32,2.29,98.08,1.07,98.74,0.23,98.28,5.45
107年5月,97.48,1.75,94.27,1.78,100.02,-0.52,97.76,1.15,99.19,2.59,97.63,0.29,98.67,0.19,98.45,5.23
107年6月,97.88,1.4,94.35,-0.13,98.41,-0.36,98.98,0.93,99.56,3.46,98.14,0.76,99.26,0.51,98.61,6.8
107年7月,98.22,1.75,94.91,0.9,96.24,0.27,99,0.94,100.73,4.36,98.5,1.13,100.46,0.49,98.14,6.37
107年8月,98.16,1.54,95.41,0.76,94.25,1.43,99.08,0.82,100.66,3.84,98.56,1.13,100.27,0.56,97.6,5.8
107年9月,98.32,1.72,97.18,2.48,93.97,1.85,99.21,0.76,99.95,2.87,98.47,0.93,98.94,0.3,97.79,5.07
107年10月,98.39,1.16,96.93,1.49,103.05,-1.81,98.17,0.87,100.22,2.48,98.38,0.98,99.06,0.1,97.1,2.91
107年11月,97.78,0.29,95.85,-0.47,101.48,-1.1,98.14,0.75,99.07,0.65,98.32,0.89,98.1,-0.12,97.39,1.92
107年12月,97.29,-0.06,94.93,-0.63,99.28,-1.18,98.1,0.72,97.5,-1.03,98.24,0.7,98.29,-0.19,97.78,0.94
108年,98.3,0.55,96.96,1.9,97.08,-0.73,98.81,0.62,98.07,-1.45,98.98,0.85,99.78,0.75,98.65,0.58
108年1月,97.19,0.18,95.09,0.81,95.73,-1.62,98.02,0.66,97.69,-1.58,98.51,0.9,98.24,0.37,97.83,0.5
108年2月,98.14,0.21,95.65,0.85,92.97,-1.36,98.29,0.85,98.26,-1.42,98.61,0.73,100.52,0.08,100.91,0.41
108年3月,97.52,0.56,95.57,1.45,92.79,-0.64,98.4,0.9,98.25,-0.75,98.92,1.05,98.65,0.23,98.52,0.54
108年4月,98.25,0.66,95.85,1.35,99.9,-1.9,98.5,0.93,99.09,-0.23,98.72,0.65,99.93,1.21,98.61,0.34
108年5月,98.39,0.93,96.7,2.58,98.98,-1.04,98.63,0.89,99.07,-0.12,98.54,0.93,99.67,1.01,98.54,0.09
108年6月,98.71,0.85,97.5,3.34,97.02,-1.41,99.62,0.65,98.37,-1.2,98.85,0.72,100.16,0.91,98.67,0.06
108年7月,98.6,0.39,96.5,1.68,95.07,-1.22,99.55,0.56,99.37,-1.35,99.06,0.57,101.13,0.67,98.25,0.11
108年8月,98.58,0.43,97.65,2.35,93.49,-0.81,99.54,0.46,98.2,-2.44,99.35,0.8,100.62,0.35,98.37,0.79
